datetime,SUSHI-USD,LTC-USD,ALGO-USD,MKR-USD,CELO-USD,ICP-USD,BCH-USD,LINK-USD,DOGE-USD,MATIC-USD,COMP-USD,XTZ-USD,YFI-USD,ADA-USD,SOL-USD,AAVE-USD,XLM-USD,AVAX-USD,XMR-USD,ATOM-USD,EOS-USD,ENJ-USD,SNX-USD,NEAR-USD,1INCH-USD,ZRX-USD,UNI-USD,TRX-USD,DOT-USD,ETH-USD,CRV-USD,ZEC-USD,UMA-USD,RUNE-USD,FIL-USD,BTC-USD,ETC-USD
2024-03-01T18:00:00.000Z,1.599,84.2,0.2193,2111,1.159,12.77,312.1,19.872,0.1351,1.0185,93,1.265,8875,0.691,133.138,108.81,0.1255,42.03,143.2,11.354,0.887,0.46,4.411,3.915,0.545,0.403,11.715,0.141,8.42,3434.8,0.6124,29.4,4.18,5.801,8.16,62385,29.81
2024-03-01T19:00:00.000Z,1.596,84.1,0.2199,2104,1.166,12.78,311.7,19.86,0.1358,1.0183,93.6,1.268,8882,0.692,130.997,108.5,0.125,42.01,143.1,11.359,0.886,0.468,4.452,3.917,0.545,0.402,11.567,0.1413,8.38,3429.2,0.6152,29.5,4.18,5.799,8.13,62269,29.73
2024-03-01T20:00:00.000Z,1.598,84.4,0.2202,2118,1.158,12.88,314.9,19.911,0.1403,1.0209,93.6,1.268,8937,0.697,131.9,108.87,0.1259,42.28,143.4,11.396,0.89,0.466,4.478,3.948,0.548,0.403,11.649,0.1414,8.46,3450,0.636,29.5,4.25,5.849,8.17,62997,29.9
2024-03-01T21:00:00.000Z,1.588,84.8,0.2227,2109,1.167,12.87,315.5,19.829,0.1416,1.0212,94.3,1.273,8941,0.696,131.017,109.29,0.1261,42.33,145.2,11.449,0.897,0.468,4.524,3.939,0.547,0.404,11.576,0.1416,8.49,3430.8,0.6438,29.5,4.29,5.828,8.2,62606,29.89
2024-03-01T22:00:00.000Z,1.604,84.8,0.2236,2110,1.17,12.93,315.6,20.002,0.1403,1.0227,93.5,1.271,9001,0.701,130.819,109.71,0.1269,42.62,145.5,11.517,0.901,0.466,4.534,3.936,0.55,0.405,11.587,0.1416,8.62,3438,0.6506,29.7,4.29,5.821,8.17,62571,30.04
2024-03-01T23:00:00.000Z,1.609,85.3,0.2284,2109,1.2,12.98,316.8,20.075,0.1399,1.026,95.6,1.282,8930,0.72,129.4,110.75,0.1274,42.72,144.4,11.657,0.914,0.465,4.555,3.973,0.55,0.408,11.571,0.1417,8.68,3436.5,0.6542,29.6,4.35,5.814,8.24,62477,30.37
2024-03-02T00:00:00.000Z,1.612,86.4,0.2311,2126,1.151,13.11,338.7,20.259,0.1468,1.0346,93.1,1.276,9075,0.75,130.587,111.97,0.1298,43.11,145,11.832,0.938,0.467,4.626,3.992,0.553,0.418,11.755,0.1413,8.76,3461.3,0.6606,29.9,4.39,5.846,8.32,62365,31.12
2024-03-02T01:00:00.000Z,1.596,87.1,0.2305,2123,1.137,13.31,368.2,20.518,0.1425,1.0473,91.8,1.275,9104,0.757,129.247,112.12,0.1302,43.24,144.4,11.82,0.961,0.464,4.536,3.994,0.547,0.415,11.465,0.1407,8.76,3446.9,0.657,30.1,4.32,5.814,8.36,62115,31.58
2024-03-02T02:00:00.000Z,1.602,88.4,0.2316,2124,1.134,13.48,387.5,20.531,0.1403,1.052,92.9,1.285,9231,0.764,130.017,112.31,0.1318,43.34,144,11.856,0.986,0.462,4.535,4.017,0.554,0.414,11.4,0.1408,8.81,3443.6,0.6568,30.3,4.38,5.784,8.58,62186,31.88
2024-03-02T03:00:00.000Z,1.656,91.2,0.2338,2131,1.13,13.43,404.1,20.684,0.1417,1.061,94.7,1.297,9408,0.759,130.251,114.51,0.1326,43.51,141.2,11.9,1.004,0.468,4.586,4.051,0.569,0.416,12.579,0.1411,8.94,3446.6,0.6706,31.1,4.38,5.834,8.55,62405,34.02
2024-03-02T04:00:00.000Z,1.635,90.7,0.2335,2127,1.131,13.4,400.6,20.712,0.1432,1.0698,93.3,1.315,9312,0.757,129.386,113.7,0.1331,43.51,141.3,11.921,1.025,0.464,4.525,4.078,0.572,0.418,12.573,0.1412,8.94,3432.2,0.6596,30.8,4.4,5.833,8.64,62137,33.36
2024-03-02T05:00:00.000Z,1.636,90.4,0.2329,2119,1.127,13.55,405.8,21.206,0.1426,1.0685,94,1.313,9329,0.749,128.592,113.08,0.1321,43.07,142.4,11.871,1.006,0.462,4.537,4.027,0.562,0.414,12.72,0.141,8.86,3423.6,0.6608,30.8,4.43,5.797,8.59,62110,33.07
2024-03-02T06:00:00.000Z,1.618,90.3,0.2353,2129,1.139,13.45,400.9,21.477,0.143,1.0769,92.4,1.325,9277,0.742,129.283,113.29,0.1328,42.97,142.7,11.976,0.993,0.466,4.506,4.073,0.573,0.422,12.46,0.1411,8.95,3440.3,0.6654,31,4.44,5.827,8.78,62041,33.24
