,base_market,quote_market,hedge_ratio,half_life,Coint P,ROI%-1.5-0-0.05-0.5,ROI%-1.5-1.49-0.05-0.5,zscore_latest
0,SUSHI-USD,ATOM-USD,0.1457494596679517,13.0,0.0441,-0.008074740851702532,0.08696704901888865,-2.54
1,SUSHI-USD,CRV-USD,2.4649930156649646,9.0,0.0055,0.06237710569503163,0.10318963695621478,-0.64
2,LTC-USD,SNX-USD,20.18591319246668,13.0,0.0435,0.04940717048505095,0.009239746738269815,-0.68
3,LTC-USD,UMA-USD,20.29118739553779,16.0,0.0454,0.11702058468129739,0.018821295325495056,-0.09
4,ALGO-USD,CELO-USD,0.2157605555475137,14.0,0.036,0.1866324600200949,0.13303524453086674,-0.35
5,ICP-USD,UNI-USD,1.023068013226427,16.0,0.0128,0.07536974163368196,0.07723210420082981,-0.88
6,ICP-USD,ETC-USD,0.3946098821402669,6.0,0.0,0.19324969146979123,0.28865554583527114,-1.59
7,BCH-USD,LINK-USD,21.291732045322963,11.0,0.0002,0.023680609466387996,0.06618316907077132,-3.2
8,BCH-USD,COMP-USD,4.884712683674968,11.0,0.0,0.09557780135310022,0.1382062381740505,-2.04
9,BCH-USD,ADA-USD,584.125160650812,13.0,0.0012,-0.004746565796075142,-0.02153363809194499,-1.66
10,BCH-USD,XLM-USD,3040.4166089772843,17.0,0.0138,-0.002667975429208911,-0.03348212913107581,-1.58
11,BCH-USD,XMR-USD,2.9501419481307227,11.0,0.0,0.10198686511130066,0.1092462890106879,-0.05
12,BCH-USD,EOS-USD,383.9927469652064,24.0,0.0308,0.10463960392132134,0.08299415444288702,-2.08
13,BCH-USD,SNX-USD,95.78532973170452,15.0,0.0005,0.009900334911086661,-0.013915168635897866,-1.3
14,BCH-USD,1INCH-USD,700.5015948383427,24.0,0.014,-0.041123379008593336,-0.10504274663807658,-1.51
15,BCH-USD,TRX-USD,3184.9311830971933,12.0,0.0001,0.07005257504926639,0.05894556623849245,-1.16
16,BCH-USD,ZEC-USD,13.105462874483326,17.0,0.0053,0.13118545617072594,0.11468903624343295,-1.1
17,BCH-USD,UMA-USD,96.28024870482317,17.0,0.0027,0.17083727730609677,0.2056876258272617,-0.82
18,BCH-USD,FIL-USD,42.37468180652627,23.0,0.0156,0.1671711254900602,0.06434608163599544,-2.21
19,LINK-USD,COMP-USD,0.2294135247298691,13.0,0.0195,0.06100799894076249,0.10384879887427655,3.58
20,LINK-USD,ADA-USD,27.421695857185405,12.0,0.0278,0.06650020571788828,0.09472394820093977,3.2
21,DOGE-USD,XLM-USD,1.1584438274311508,13.0,0.045,0.17156036982191317,0.16436949154457947,0.67
22,DOGE-USD,ATOM-USD,0.0125984973812285,17.0,0.0354,0.03947677817768759,0.09571997021885349,0.41
23,MATIC-USD,1INCH-USD,1.8656421437440431,7.0,0.0339,0.08791802028179982,0.08075378185118517,1.05
24,COMP-USD,ADA-USD,119.46108664563953,10.0,0.0013,0.13208516140205423,0.13353714888163276,0.87
25,COMP-USD,XMR-USD,0.603170994767469,16.0,0.0394,0.09819570423977914,0.17600774795128601,1.42
26,COMP-USD,TRX-USD,651.6633048342687,11.0,0.0335,0.19616039938313976,0.2279081736856859,-0.08
27,XTZ-USD,XLM-USD,10.068514336305665,5.0,0.0029,0.05953780283690685,0.06335483491753208,-0.67
28,XTZ-USD,EOS-USD,1.2716449290581462,13.0,0.0434,0.09489470552553113,0.1612650682293864,-1.45
29,XTZ-USD,SNX-USD,0.3171994962194868,15.0,0.0322,0.09958767711814469,0.05284322420737307,-0.41
30,XTZ-USD,1INCH-USD,2.321807112470328,10.0,0.0367,0.09654937542315092,0.1365582896732748,-0.66
31,XTZ-USD,UMA-USD,0.3188638034698524,17.0,0.0465,-0.013877798935038817,-0.04975474766562621,0.08
32,YFI-USD,ATOM-USD,754.8421708581703,17.0,0.0201,-0.008784841181520227,0.045408954656715544,0.3
33,YFI-USD,EOS-USD,8764.974436726843,10.0,0.0002,0.11612376229090826,0.09942067550617112,0.0
34,YFI-USD,ZEC-USD,299.0473190835585,8.0,0.0217,-0.01261354122526275,0.05964097223725991,1.03
35,YFI-USD,FIL-USD,967.0119466859876,17.0,0.0205,-0.11213116551464818,0.019315209714022348,-0.13
36,ADA-USD,XMR-USD,0.0050487703698302,11.0,0.0103,0.0167794211205774,0.1155789488604608,1.36
37,ADA-USD,SNX-USD,0.163995341085952,17.0,0.0144,-0.014506228010155624,0.030729977633828398,0.03
38,ADA-USD,TRX-USD,5.450828948878472,15.0,0.0275,-0.023428174544356657,0.002404882707884271,-0.57
39,XMR-USD,EOS-USD,129.96011973365023,23.0,0.0,-0.015428830997771157,-0.09571377751196124,-1.53
40,XMR-USD,SNX-USD,32.44410460593988,24.0,0.0001,-0.01191249438119367,0.029533493173906487,-1.14
41,XMR-USD,1INCH-USD,237.37318807553217,23.0,0.0002,0.030870742450401913,0.1155537132908053,-0.97
42,XMR-USD,TRX-USD,1079.363661635154,18.0,0.0,0.12538770793560877,0.14965934300421974,-1.35
43,XMR-USD,DOT-USD,14.08323718277912,24.0,0.0003,-0.0030378255451609048,0.1023497307629107,-1.17
44,XMR-USD,ZEC-USD,4.437938474772498,18.0,0.0,0.07862091917781856,0.1712316479875067,-1.16
45,ATOM-USD,UNI-USD,0.9478504073227428,24.0,0.0334,0.013297084925639874,0.10000879524156668,0.17
46,ATOM-USD,ETH-USD,0.0034353484907812,15.0,0.0088,0.04774286982675193,0.13343857790845767,-0.49
47,ATOM-USD,CRV-USD,16.896480749826914,16.0,0.002,0.09718386967541896,0.15963635316150185,1.96
48,EOS-USD,ZEC-USD,0.0340847135358551,10.0,0.0056,0.1431303974539261,0.06496996280211875,1.5
49,EOS-USD,FIL-USD,0.1103093687513261,10.0,0.0018,0.13147999152735007,0.388829390218573,-0.07
50,1INCH-USD,CRV-USD,0.7973453871972606,10.0,0.0004,0.05884822106203154,0.12962115053045892,1.7
51,DOT-USD,ETH-USD,0.0027300497258954,13.0,0.0386,0.006475572340479647,-0.03084034401391718,-0.44
52,DOT-USD,CRV-USD,13.432574321302486,12.0,0.0397,0.08019817070830143,0.07370411636230344,1.85
53,DOT-USD,BTC-USD,0.0001516384302887,9.0,0.0078,0.10343051694591557,0.11748263515979417,-0.55
54,ETH-USD,CRV-USD,4917.258045725501,12.0,0.0131,0.09765808287385931,0.07516813786429591,2.11
55,ZEC-USD,FIL-USD,3.23314815585646,14.0,0.0218,0.15023372193872378,0.10910435215794315,-0.91
